SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
509026,VJTFEDU     ,XT,Q,56.05,56.05,50.75,50.75,50.75,53.40,16,479,25774.00,,INE117F01013,02-Aug-17,,
509038,VOLTAIR LEAS,XD,Q,27.40,27.40,27.40,27.40,27.40,27.95,1,1,27.00,,INE763D01019,02-Aug-17,,
509048,LANCOR HOLDS,XC,Q,33.30,33.95,32.60,32.90,32.80,33.45,43,7649,254600.00,,INE572G01025,02-Aug-17,,
509051,INDIAN INFO.,XT,Q,0.19,0.20,0.19,0.19,0.19,0.19,17,42724,8117.00,,INE300B01022,02-Aug-17,,
509053,BANAS FIN.  ,SS,Q,0.55,0.55,0.55,0.55,0.55,0.57,3,2200,1210.00,,INE521L01022,02-Aug-17,,
509055,VISAKA IND. ,B ,Q,473.90,490.00,473.90,485.90,485.90,469.60,778,12724,6136962.00,,INE392A01013,02-Aug-17,,
509077,PRESSMN     ,B ,Q,67.75,68.70,63.50,64.35,64.35,66.35,281,20270,1344498.00,,INE980A01023,02-Aug-17,,
509079,GUFIC BIO SC,B ,Q,72.95,73.00,72.00,72.45,72.50,73.20,77,6975,505376.00,,INE742B01025,02-Aug-17,,
509148,GOVIND RUBB.,XD,Q,24.35,24.95,24.00,24.20,24.20,24.35,144,31751,771302.00,,INE011C01015,02-Aug-17,,
509152,GRPLTD      ,B ,Q,1370.00,1400.00,1315.00,1319.65,1315.00,1380.00,29,794,1081013.00,XD,INE137I01015,02-Aug-17,,
509162,INDAG RUBBER,XC,Q,199.45,209.60,194.00,195.00,195.00,196.05,537,65844,13084365.00,,INE802D01023,02-Aug-17,,
509196,M.M.RUBBER  ,P ,Q,18.95,18.95,18.95,18.95,18.95,18.05,1,50,947.00,,INE159E01026,02-Aug-17,,
509220,PTL LTD     ,B ,Q,42.85,43.55,42.65,42.90,42.90,43.00,34,4032,173314.00,,INE034D01031,02-Aug-17,,
509243,TVS SRICHAKR,B ,Q,3661.20,3828.85,3661.00,3760.90,3738.00,3651.15,399,1876,7044330.00,,INE421C01016,02-Aug-17,,
509438,BENARES HOT ,XT,Q,1208.50,1208.50,1195.00,1195.00,1195.00,1207.00,2,2,2403.00,,INE664D01019,02-Aug-17,,
509449,BHAGWATI OXY,XT,Q,37.90,37.90,37.90,37.90,37.90,36.10,2,31,1174.00,,INE026I01010,02-Aug-17,,
509472,CRAVATEX    ,XD,Q,420.05,420.05,415.00,415.00,415.00,418.20,10,250,104760.00,,INE145E01017,02-Aug-17,,
509480,BERGE PAINT ,A ,Q,255.00,255.00,246.65,250.25,251.00,248.95,759,40615,10153558.00,,INE463A01038,02-Aug-17,,
509486,CAPRIHANS   ,XC,Q,106.25,106.70,104.20,105.00,105.00,104.80,34,3893,410358.00,,INE479A01018,02-Aug-17,,
509488,GRAPHITE IN.,B ,Q,206.60,210.50,204.55,209.40,209.40,204.80,2282,169640,35273372.00,,INE371A01025,02-Aug-17,,
509496,ITDCEM      ,B ,Q,164.00,165.00,160.20,162.50,163.10,163.45,195,13193,2159049.00,,INE686A01026,02-Aug-17,,
509525,EMPIRE IND. ,XC,Q,2058.10,2169.35,2058.10,2102.65,2095.95,2100.10,25,145,305387.00,,INE515H01014,02-Aug-17,,
509546,GRAVISS HOSP,XC,Q,17.10,17.10,17.00,17.05,17.00,17.00,3,1000,17065.00,,INE214F01026,02-Aug-17,,
